iter	Passed	Remaining
0	138	96629
1	255	89151
2	390	90677
3	517	90025
4	640	88963
5	756	87468
6	883	87502
7	1005	86949
8	1117	85797
9	1232	85010
10	1341	84001
11	1451	83191
12	1568	82896
13	1679	82305
14	1791	81800
15	1905	81445
16	2029	81534
17	2159	81802
18	2290	82091
19	2409	81928
20	2518	81423
21	2627	80985
22	2744	80777
23	2855	80422
24	2967	80129
25	3079	79829
26	3188	79481
27	3300	79207
28	3418	79087
29	3527	78772
30	3646	78693
31	3759	78487
32	3863	78089
33	3968	77733
34	4080	77537
35	4179	77084
36	4283	76758
37	4376	76247
38	4470	75771
39	4565	75333
40	4664	74979
41	4750	74432
42	4856	74208
43	4947	73755
44	5036	73303
45	5113	72702
46	5206	72343
47	5300	71994
48	5399	71733
49	5479	71237
50	5574	70940
51	5670	70657
52	5757	70283
53	5868	70209
54	5995	70308
55	6098	70133
56	6185	69779
57	6274	69453
58	6361	69108
59	6450	68808
60	6540	68514
61	6629	68224
62	6719	67942
63	6813	67704
64	6906	67468
65	6997	67222
66	7093	67017
67	7178	66716
68	7278	66560
69	7368	66315
70	7460	66095
71	7557	65919
72	7636	65587
73	7731	65408
74	7833	65283
75	7917	65007
76	8013	64835
77	8103	64619
78	8200	64458
79	8299	64317
80	8396	64167
81	8489	63978
82	8573	63732
83	8671	63588
84	8763	63403
85	8857	63236
86	8948	63047
87	9033	62822
88	9155	62856
89	9246	62670
90	9336	62480
91	9423	62276
92	9501	62014
93	9593	61844
94	9689	61703
95	9789	61594
96	9887	61462
97	9975	61280
98	10059	61070
99	10152	60914
100	10248	60779
101	10341	60629
102	10422	60410
103	10513	60247
104	10602	60082
105	10696	59942
106	10801	59860
107	10891	59703
108	10977	59521
109	11062	59334
110	11149	59161
111	11238	59001
112	11338	58900
113	11424	58723
114	11505	58530
115	11601	58410
116	11696	58282
117	11782	58112
118	11878	57993
119	11958	57798
120	12045	57641
121	12128	57462
122	12210	57280
123	12285	57069
124	12381	56954
125	12475	56834
126	12579	56755
127	12667	56608
128	12748	56431
129	12835	56280
130	12983	56393
131	13076	56266
132	13167	56136
133	13255	55991
134	13341	55836
135	13429	55692
136	13510	55522
137	13592	55355
138	13694	55269
139	13785	55140
140	13870	54990
141	13960	54858
142	14054	54742
143	14142	54607
144	14234	54482
145	14327	54364
146	14422	54255
147	14517	54146
148	14618	54058
149	14712	53945
150	14797	53800
151	14889	53678
152	14981	53562
153	15079	53464
154	15159	53303
155	15238	53140
156	15329	53018
157	15422	52903
158	15518	52802
159	15610	52684
160	15711	52599
161	15810	52506
162	15913	52425
163	16008	52319
164	16095	52189
165	16177	52041
166	16265	51913
167	16368	51834
168	16460	51718
169	16561	51633
170	16652	51514
171	16741	51392
172	16829	51267
173	16913	51130
174	17010	51032
175	17102	50919
176	17211	50855
177	17300	50736
178	17389	50614
179	17482	50505
180	17570	50381
181	17670	50293
182	17761	50178
183	17851	50062
184	17943	49950
185	18017	49790
186	18108	49676
187	18206	49584
188	18299	49477
189	18394	49373
190	18488	49269
191	18580	49160
192	18670	49047
193	18754	48916
194	18849	48816
195	18950	48729
196	19042	48620
197	19135	48516
198	19232	48420
199	19318	48297
200	19411	48191
201	19499	48072
202	19597	47981
203	19675	47839
204	19767	47732
205	19851	47605
206	19941	47493
207	20050	47426
208	20143	47322
209	20229	47202
210	20319	47092
211	20413	46988
212	20580	47054
213	20682	46970
214	20773	46862
215	20877	46780
216	20967	46668
217	21053	46548
218	21145	46441
219	21238	46338
220	21315	46200
221	21413	46106
222	21514	46019
223	21598	45897
224	21684	45778
225	21776	45672
226	21867	45565
227	21965	45473
228	22060	45372
229	22153	45270
230	22240	45154
231	22329	45043
232	22421	44938
233	22531	44870
234	22622	44763
235	22732	44694
236	22822	44584
237	22919	44490
238	23008	44379
239	23090	44257
240	23180	44149
241	23269	44038
242	23357	43928
243	23447	43819
244	23542	43722
245	23636	43621
246	23719	43502
247	23802	43381
248	23886	43264
249	23984	43172
250	24076	43068
251	24161	42953
252	24241	42829
253	24337	42735
254	24422	42619
255	24507	42505
256	24620	42438
257	24730	42367
258	24876	42357
259	24963	42246
260	25067	42162
261	25156	42054
262	25236	41932
263	25319	41815
264	25412	41715
265	25502	41609
266	25594	41507
267	25699	41425
268	25793	41326
269	25871	41202
270	25975	41120
271	26060	41007
272	26165	40924
273	26249	40810
274	26339	40706
275	26432	40606
276	26509	40481
277	26603	40383
278	26690	40275
279	26777	40165
280	26858	40048
281	26933	39922
282	27027	39824
283	27123	39729
284	27212	39625
285	27311	39534
286	27404	39435
287	27496	39335
288	27587	39233
289	27674	39125
290	27759	39016
291	27850	38914
292	27925	38791
293	28017	38690
294	28101	38580
295	28195	38483
296	28292	38390
297	28391	38299
298	28479	38194
299	28567	38089
300	28655	37985
301	28746	37884
302	28845	37794
303	28938	37696
304	29038	37607
305	29125	37501
306	29216	37400
307	29297	37287
308	29389	37188
309	29470	37076
310	29549	36960
311	29637	36856
312	29725	36752
313	29806	36641
314	29894	36538
315	29984	36436
316	30070	36331
317	30168	36240
318	30265	36148
319	30397	36097
320	30522	36037
321	30645	35975
322	30742	35881
323	30858	35811
324	30953	35716
325	31037	35607
326	31120	35498
327	31211	35398
328	31313	35310
329	31402	35209
330	31503	35120
331	31596	35022
332	31687	34923
333	31771	34815
334	31858	34711
335	31960	34624
336	32054	34527
337	32139	34421
338	32231	34323
339	32327	34229
340	32409	34120
341	32501	34021
342	32583	33913
343	32659	33798
344	32752	33702
345	32834	33593
346	32920	33489
347	33004	33383
348	33091	33280
349	33180	33180
350	33267	33077
351	33349	32970
352	33434	32865
353	33553	32795
354	33640	32692
355	33724	32587
356	33821	32495
357	33919	32403
358	34012	32307
359	34099	32204
360	34175	32093
361	34267	31995
362	34364	31903
363	34463	31812
364	34560	31719
365	34636	31608
366	34733	31515
367	34833	31426
368	34926	31329
369	35012	31227
370	35098	31125
371	35194	31031
372	35283	30932
373	35375	30835
374	35465	30737
375	35555	30638
376	35651	30544
377	35740	30445
378	35823	30341
379	35925	30253
380	36008	30149
381	36089	30043
382	36176	29942
383	36266	29844
384	36353	29743
385	36447	29649
386	36532	29546
387	36615	29443
388	36697	29339
389	36789	29242
390	36862	29131
391	36961	29041
392	37065	28954
393	37156	28857
394	37247	28760
395	37353	28675
396	37445	28579
397	37541	28486
398	37627	28385
399	37721	28291
400	37808	28191
401	37899	28094
402	37982	27991
403	38072	27894
404	38160	27796
405	38243	27693
406	38328	27592
407	38427	27501
408	38535	27417
409	38634	27326
410	38716	27224
411	38809	27129
412	38907	27037
413	38999	26942
414	39092	26846
415	39177	26746
416	39260	26644
417	39357	26552
418	39453	26459
419	39530	26353
420	39616	26254
421	39708	26158
422	39789	26056
423	39871	25954
424	39950	25850
425	40028	25745
426	40112	25645
427	40207	25552
428	40297	25456
429	40379	25354
430	40466	25256
431	40553	25158
432	40651	25066
433	40733	24965
434	40818	24866
435	40905	24768
436	41015	24684
437	41099	24584
438	41197	24493
439	41305	24407
440	41395	24311
441	41494	24220
442	41579	24121
443	41665	24023
444	41763	23931
445	41853	23835
446	41949	23743
447	42032	23643
448	42134	23554
449	42214	23452
450	42304	23356
451	42396	23262
452	42488	23166
453	42571	23067
454	42654	22967
455	42740	22869
456	42827	22772
457	42914	22675
458	43005	22580
459	43082	22477
460	43179	22385
461	43274	22293
462	43362	22196
463	43458	22103
464	43546	22007
465	43637	21912
466	43718	21812
467	43811	21718
468	43900	21622
469	43988	21526
470	44076	21430
471	44163	21333
472	44254	21238
473	44352	21147
474	44482	21070
475	44607	20991
476	44732	20912
477	44823	20817
478	44923	20726
479	45013	20631
480	45103	20535
481	45181	20434
482	45276	20341
483	45360	20243
484	45449	20147
485	45536	20050
486	45623	19954
487	45719	19861
488	45819	19770
489	45907	19674
490	46007	19583
491	46090	19485
492	46176	19388
493	46263	19291
494	46351	19195
495	46451	19105
496	46543	19010
497	46630	18914
498	46716	18817
499	46795	18718
500	46884	18622
501	46970	18526
502	47052	18428
503	47130	18328
504	47214	18231
505	47302	18135
506	47408	18047
507	47507	17955
508	47598	17861
509	47699	17770
510	47788	17675
511	47892	17585
512	47992	17494
513	48088	17401
514	48173	17304
515	48266	17211
516	48351	17114
517	48441	17019
518	48518	16920
519	48601	16823
520	48683	16726
521	48779	16633
522	48867	16538
523	48954	16442
524	49036	16345
525	49123	16250
526	49230	16161
527	49321	16066
528	49403	15969
529	49486	15873
530	49585	15781
531	49681	15688
532	49764	15592
533	49855	15498
534	49948	15404
535	50038	15310
536	50132	15217
537	50223	15123
538	50310	15027
539	50410	14936
540	50501	14842
541	50591	14748
542	50671	14650
543	50766	14557
544	50850	14461
545	50933	14365
546	51030	14273
547	51128	14181
548	51213	14086
549	51292	13988
550	51385	13895
551	51470	13800
552	51557	13705
553	51642	13609
554	51738	13517
555	51821	13421
556	51919	13329
557	52006	13234
558	52093	13139
559	52175	13043
560	52267	12950
561	52364	12858
562	52458	12765
563	52536	12668
564	52621	12573
565	52724	12482
566	52812	12388
567	52902	12294
568	52998	12201
569	53081	12106
570	53166	12011
571	53269	11920
572	53355	11825
573	53434	11729
574	53518	11634
575	53606	11540
576	53693	11445
577	53787	11353
578	53891	11262
579	53985	11169
580	54071	11074
581	54177	10984
582	54290	10895
583	54371	10799
584	54457	10705
585	54555	10613
586	54660	10522
587	54744	10427
588	54836	10334
589	54931	10241
590	55010	10145
591	55084	10049
592	55173	9955
593	55265	9862
594	55361	9769
595	55466	9678
596	55554	9584
597	55639	9490
598	55732	9397
599	55816	9302
600	55902	9208
601	55995	9115
602	56098	9024
603	56191	8931
604	56276	8836
605	56366	8743
606	56458	8650
607	56540	8555
608	56621	8460
609	56708	8366
610	56789	8272
611	56873	8177
612	56961	8084
613	57048	7990
614	57134	7896
615	57222	7803
616	57331	7712
617	57413	7617
618	57488	7522
619	57579	7429
620	57661	7335
621	57743	7241
622	57831	7147
623	57927	7055
624	58001	6960
625	58100	6868
626	58180	6773
627	58273	6681
628	58366	6588
629	58456	6495
630	58537	6401
631	58612	6306
632	58697	6212
633	58794	6120
634	58882	6027
635	58965	5933
636	59044	5839
637	59125	5745
638	59213	5652
639	59308	5560
640	59411	5468
641	59499	5375
642	59578	5281
643	59665	5188
644	59749	5094
645	59836	5001
646	59927	4909
647	60019	4816
648	60108	4723
649	60183	4629
650	60287	4537
651	60375	4444
652	60469	4352
653	60555	4259
654	60642	4166
655	60733	4073
656	60823	3980
657	60912	3888
658	61008	3795
659	61110	3703
660	61211	3611
661	61318	3519
662	61402	3426
663	61479	3333
664	61564	3240
665	61647	3147
666	61730	3054
667	61816	2961
668	61898	2868
669	61998	2776
670	62076	2682
671	62168	2590
672	62250	2497
673	62341	2404
674	62422	2311
675	62501	2218
676	62587	2126
677	62675	2033
678	62755	1940
679	62857	1848
680	62944	1756
681	63034	1663
682	63136	1571
683	63223	1478
684	63324	1386
685	63415	1294
686	63514	1201
687	63606	1109
688	63694	1016
689	63787	924
690	63875	831
691	63964	739
692	64053	647
693	64165	554
694	64274	462
695	64394	370
696	64532	277
697	64627	185
698	64713	92
699	64801	0
