ADM2_PCODE,GID_2
VE1501,VEN.16.1_1
VE0401,VEN.3.1_1
VE1101,VEN.12.1_1
VE1601,VEN.17.1_1
VE1602,VEN.17.2_1
VE0301,VEN.2.1_1
VE0901,VEN.8.1_1
VE0302,VEN.2.2_1
VE1802,VEN.19.2_1
VE1404,VEN.15.4_1
VE0603,VEN.5.4_1
VE1903,VEN.20.3_1
VE2003,VEN.21.3_1
VE2302,VEN.25.2_1
VE0604,VEN.5.5_1
VE1503,VEN.16.3_1
VE0801,VEN.7.1_1
VE1904,VEN.20.4_1
VE1905,VEN.20.5_1
VE0402,VEN.3.2_1
VE2102,VEN.22.2_1
VE0501,VEN.4.1_1
VE0605,VEN.5.6_1
VE1102,VEN.12.2_1
VE1603,VEN.17.3_1
VE1906,VEN.20.6_1
VE2004,VEN.21.4_1
VE2103,VEN.22.3_1
VE2202,VEN.24.2_1
VE1504,VEN.16.4_1
VE2203,VEN.24.3_1
VE1103,VEN.12.3_1
VE1505,VEN.16.5_1
VE2303,VEN.25.3_1
VE1907,VEN.20.7_1
VE1201,VEN.13.1_1
VE0502,VEN.4.2_1
VE2104,VEN.22.4_1
VE2105,VEN.22.5_1
VE2005,VEN.21.5_1
VE1604,VEN.17.4_1
VE1105,VEN.12.5_1
VE0701,VEN.6.2_1
VE1506,VEN.16.6_1
VE2304,VEN.25.4_1
VE0702,VEN.6.3_1
VE1605,VEN.17.5_1
VE1507,VEN.16.7_1
VE1202,VEN.13.2_1
VE2204,VEN.24.4_1
VE1106,VEN.12.6_1
VE2305,VEN.25.5_1
VE2006,VEN.21.6_1
VE1302,VEN.14.2_1
VE1107,VEN.12.7_1
VE1108,VEN.12.8_1
VE2106,VEN.22.6_1
VE1803,VEN.19.3_1
VE1109,VEN.12.9_1
VE1110,VEN.12.10_1
VE0503,VEN.4.4_1
VE0903,VEN.8.4_1
VE0804,VEN.7.4_1
VE1804,VEN.19.4_1
VE1805,VEN.19.5_1
VE0306,VEN.2.11_1
VE1409,VEN.15.9_1
VE2010,VEN.21.10_1
VE0307,VEN.2.12_1
VE1511,VEN.16.11_1
VE2011,VEN.21.11_1
VE2205,VEN.24.5_1
VE1303,VEN.14.3_1
VE1111,VEN.12.11_1
VE2012,VEN.21.12_1
VE1304,VEN.14.4_1
VE2014,VEN.21.14_1
VE2310,VEN.25.11_1
VE1512,VEN.16.12_1
VE0311,VEN.2.14_1
VE2015,VEN.21.15_1
VE0507,VEN.4.8_1
VE0806,VEN.7.7_1
VE1412,VEN.15.12_1
VE1607,VEN.17.7_1
VE1909,VEN.20.9_1
VE2016,VEN.21.16_1
VE2017,VEN.21.17_1
VE0206,VEN.1.5_1
VE2312,VEN.25.13_1
VE2313,VEN.25.14_1
VE1910,VEN.20.10_1
VE1608,VEN.17.8_1
VE1113,VEN.12.13_1
VE1911,VEN.20.11_1
VE2018,VEN.21.18_1
VE0808,VEN.7.9_1
VE1114,VEN.12.14_1
VE1413,VEN.15.13_1
VE2110,VEN.22.10_1
VE2314,VEN.25.15_1
VE0809,VEN.7.10_1
VE1912,VEN.20.12_1
VE1305,VEN.14.5_1
VE2112,VEN.22.12_1
VE0403,VEN.3.3_1
VE0810,VEN.7.11_1
VE2209,VEN.24.9_1
VE0608,VEN.5.9_1
VE1210,VEN.13.9_1
VE1807,VEN.19.7_1
VE0404,VEN.3.4_1
VE1514,VEN.16.14_1
VE1808,VEN.19.8_1
VE1306,VEN.14.6_1
VE1116,VEN.12.16_1
VE2113,VEN.22.13_1
VE2114,VEN.22.14_1
VE2019,VEN.21.19_1
VE1809,VEN.19.9_1
VE0609,VEN.5.10_1
VE2210,VEN.24.10_1
VE1117,VEN.12.17_1
VE0706,VEN.6.8_1
VE1609,VEN.17.9_1
VE0314,VEN.2.18_1
VE1118,VEN.12.18_1
VE1517,VEN.16.17_1
VE1610,VEN.17.10_1
VE1417,VEN.15.17_1
VE1913,VEN.20.13_1
VE0906,VEN.8.7_1
VE0610,VEN.5.11_1
VE0708,VEN.6.9_1
VE2024,VEN.21.25_1
VE0709,VEN.6.10_1
VE1120,VEN.12.20_1
VE0611,VEN.5.12_1
VE1612,VEN.17.12_1
VE0513,VEN.4.15_1
VE0710,VEN.6.11_1
VE1121,VEN.12.21_1
VE1420,VEN.15.20_1
VE1519,VEN.16.19_1
VE1813,VEN.19.13_1
VE1914,VEN.20.14_1
VE2026,VEN.21.27_1
VE2117,VEN.22.17_1
VE2212,VEN.24.12_1
VE2320,VEN.25.20_1
VE0909,VEN.8.9_1
VE1122,VEN.12.22_1
VE2027,VEN.21.28_1
VE1308,VEN.14.8_1
VE0514,VEN.4.16_1
VE1421,VEN.15.21_1
VE2118,VEN.22.18_1
VE1814,VEN.19.14_1
VE1123,VEN.12.23_1
VE2213,VEN.24.13_1
VE1613,VEN.17.13_1
VE0515,VEN.4.17_1
VE1309,VEN.14.9_1
VE1520,VEN.16.20_1
VE2119,VEN.22.19_1
VE2028,VEN.21.29_1
VE1124,VEN.12.24_1
VE1915,VEN.20.15_1
VE0814,VEN.7.15_1
VE2120,VEN.22.20_1
VE2214,VEN.24.14_1
VE1125,VEN.12.25_1
VE1521,VEN.16.21_1
VE1423,VEN.15.23_1
