Estado,Municipio,ADM2_PCODE,Fecha_pred,Pred_mm,Media_hist_mm,Diff_pct,SPI_like,Alerta,P20,P80,P10,P90,P05,P95
Miranda,Acevedo,VE1501,2025-06-21,99.13373530716322,67.4589,46.9542718709662,15.116575690908876,Lluvia extrema,65.501,70.3515,65.501,70.3515,65.501,70.3515
Apure,Achaguas,VE0401,2025-06-21,102.55549666852122,117.97483333333332,-13.070021994644714,-1.5023999053901542,Sequía extrema,105.4078,130.4535,105.4078,130.4535,105.4078,130.4535
Falcón,Acosta,VE1101,2025-06-21,84.04944881318004,25.025566666666666,235.8543282263873,68.62017414490441,Lluvia extrema,23.9656,26.0644,23.9656,26.0644,23.9656,26.0644
Monagas,Acosta,VE1601,2025-06-21,103.1037592853838,44.0735,133.93594628378463,51.201152074209524,Lluvia extrema,42.459,45.0359,42.459,45.0359,42.459,45.0359
Portuguesa,AguaBlanca,VE1801,2025-06-21,101.17259328461076,78.20693333333332,29.365248031646086,7.571801837539005,Lluvia extrema,75.5458,82.4333,75.5458,82.4333,75.5458,82.4333
Monagas,Aguasay,VE1602,2025-06-21,105.62915850273151,56.193733333333334,87.97319956685237,9.842176164731915,Lluvia extrema,49.1434,60.2502,49.1434,60.2502,49.1434,60.2502
Mérida,AlbertoAdriani,VE1401,2025-06-21,96.79755562984882,41.575,132.82635148490394,24.972475138249585,Lluvia extrema,39.6028,44.65,39.6028,44.65,39.6028,44.65
Barinas,AlbertoArveloTorrealba,VE0601,2025-06-21,104.70308276525172,80.168,30.604583830520546,10.261976835730959,Lluvia extrema,77.932,83.468,77.932,83.468,77.932,83.468
Zulia,AlmirantePadilla,VE2301,2025-06-21,112.6978413494564,10.311133333333332,992.9723989227476,146.02873703351344,Lluvia extrema,9.6417,11.275,9.6417,11.275,9.6417,11.275
Anzoátegui,Anaco,VE0301,2025-06-21,103.44791172169504,40.995733333333334,152.3382393981529,31.53098096348499,Lluvia extrema,39.5141,43.7846,39.5141,43.7846,39.5141,43.7846
Mérida,AndrésBello,VE1402,2025-06-21,92.00567101309714,38.7361,137.51919014329562,26.231528368265284,Lluvia extrema,36.2722,41.2278,36.2722,41.2278,36.2722,41.2278
Miranda,AndrésBello,VE1502,2025-06-21,97.08608624577838,53.30743333333333,82.12485609407516,38.73637849856957,Lluvia extrema,52.3556,54.8889,52.3556,54.8889,52.3556,54.8889
Táchira,AndrésBello,VE2001,2025-06-21,92.4886994618671,32.1704,187.49626819022174,38.891163810179826,Lluvia extrema,31.0667,34.3556,31.0667,34.3556,31.0667,34.3556
Trujillo,AndrésBello,VE2101,2025-06-21,109.09398659229092,22.544433333333334,383.9065368344776,39.4582849294307,Lluvia extrema,20.7818,25.6242,20.7818,25.6242,20.7818,25.6242
Barinas,AndresEloyBlanco,VE0612,2025-06-21,92.58308528648516,132.0405,-29.882812253448638,-6.452147571656266,Sequía extrema,123.4258,136.4952,123.4258,136.4952,123.4258,136.4952
Lara,AndrésEloyBlanco,VE1301,2025-06-21,98.58576023518047,68.08376666666666,44.80068460055894,8.850084614886727,Lluvia extrema,64.4872,72.7077,64.4872,72.7077,64.4872,72.7077
Sucre,AndrésEloyBlanco,VE1901,2025-06-21,102.7846724770194,64.9596,58.22861051641237,18.14351769593991,Lluvia extrema,62.5152,67.5924,62.5152,67.5924,62.5152,67.5924
