ADM2_PCODE,Fecha_pred,Pred_mm,Pred_t3_mm,Fecha_base
VE01,2025-09-11,30.254654,36.65685272216797,2025-09-01
VE0101,2025-09-11,30.254654,36.65685272216797,2025-09-01
VE02,2025-09-11,83.394966,73.66510009765625,2025-09-01
VE0201,2025-09-11,76.38314,69.39151763916016,2025-09-01
VE0202,2025-09-11,97.156006,92.63768768310547,2025-09-01
VE0203,2025-09-11,88.08599,72.60930633544922,2025-09-01
VE0204,2025-09-11,96.73153,82.46800994873047,2025-09-01
VE0205,2025-09-11,94.97896,79.24031829833984,2025-09-01
VE0206,2025-09-11,98.07241,76.61508178710938,2025-09-01
VE0207,2025-09-11,69.748146,70.09346008300781,2025-09-01
VE03,2025-09-11,47.16253,36.26929473876953,2025-09-01
VE0301,2025-09-11,44.011852,36.07655715942383,2025-09-01
VE0302,2025-09-11,47.515053,38.04799270629883,2025-09-01
VE0303,2025-09-11,40.376476,37.67869186401367,2025-09-01
VE0304,2025-09-11,43.110096,37.23334884643555,2025-09-01
VE0305,2025-09-11,46.214703,36.698089599609375,2025-09-01
VE0306,2025-09-11,36.58763,38.082977294921875,2025-09-01
VE0307,2025-09-11,44.164993,39.77445602416992,2025-09-01
VE0308,2025-09-11,47.203045,35.63227081298828,2025-09-01
VE0309,2025-09-11,46.070873,37.50663375854492,2025-09-01
VE0310,2025-09-11,48.63115,44.032875061035156,2025-09-01
VE0311,2025-09-11,45.62001,36.241973876953125,2025-09-01
VE0312,2025-09-11,46.16783,37.3614387512207,2025-09-01
VE0313,2025-09-11,43.783863,36.14706039428711,2025-09-01
VE0314,2025-09-11,45.741497,37.299983978271484,2025-09-01
VE0315,2025-09-11,47.992905,38.6522216796875,2025-09-01
VE0316,2025-09-11,38.63289,36.26365661621094,2025-09-01
VE0317,2025-09-11,44.572487,37.13594055175781,2025-09-01
VE0318,2025-09-11,47.50763,36.194793701171875,2025-09-01
VE0319,2025-09-11,46.98239,36.06477355957031,2025-09-01
VE0320,2025-09-11,49.328094,38.87351989746094,2025-09-01
VE04,2025-09-11,80.77798,64.58340454101562,2025-09-01
VE0401,2025-09-11,79.57792,63.16542053222656,2025-09-01
VE0402,2025-09-11,71.410255,55.05814743041992,2025-09-01
VE0403,2025-09-11,63.349503,69.56681060791016,2025-09-01
VE0404,2025-09-11,82.57191,70.92118072509766,2025-09-01
VE0405,2025-09-11,86.36023,65.04367065429688,2025-09-01
VE0406,2025-09-11,81.99044,71.68016815185547,2025-09-01
VE0407,2025-09-11,73.06228,53.03218078613281,2025-09-01
VE05,2025-09-11,43.977028,40.30614471435547,2025-09-01
VE0501,2025-09-11,41.577484,39.250221252441406,2025-09-01
VE0502,2025-09-11,47.67772,41.605106353759766,2025-09-01
VE0503,2025-09-11,42.866856,41.18735122680664,2025-09-01
VE0504,2025-09-11,41.83131,40.63820266723633,2025-09-01
VE0505,2025-09-11,41.71938,38.77926254272461,2025-09-01
